location,FertilizerScenario,crop,Event,vType,DVS,Amount
49612,2,winter wheat,1,PTotal,0.001,0.214189
49612,2,winter wheat,2,KTotal,0.001,0.50968
49612,2,winter wheat,3,NTotal,0.25,6.022877
49612,2,winter wheat,4,PTotal,0.4,0.214189
49612,2,winter wheat,5,KTotal,0.4,0.50968
49612,2,winter wheat,6,NTotal,0.9,6.022877
49613,2,winter wheat,1,PTotal,0.001,0.214189
49613,2,winter wheat,2,KTotal,0.001,0.50968
49613,2,winter wheat,3,NTotal,0.25,6.022877
49613,2,winter wheat,4,PTotal,0.4,0.214189
49613,2,winter wheat,5,KTotal,0.4,0.50968
49613,2,winter wheat,6,NTotal,0.9,6.022877
49614,2,winter wheat,1,PTotal,0.001,0.214189
49614,2,winter wheat,2,KTotal,0.001,0.50968
49614,2,winter wheat,3,NTotal,0.25,6.022877
49614,2,winter wheat,4,PTotal,0.4,0.214189
49614,2,winter wheat,5,KTotal,0.4,0.50968
49614,2,winter wheat,6,NTotal,0.9,6.022877
49615,2,winter wheat,1,PTotal,0.001,0.214189
49615,2,winter wheat,2,KTotal,0.001,0.50968
49615,2,winter wheat,3,NTotal,0.25,6.022877
49615,2,winter wheat,4,PTotal,0.4,0.214189
49615,2,winter wheat,5,KTotal,0.4,0.50968
49615,2,winter wheat,6,NTotal,0.9,6.022877
49616,2,winter wheat,1,PTotal,0.001,0.214189
49616,2,winter wheat,2,KTotal,0.001,0.50968
49616,2,winter wheat,3,NTotal,0.25,6.022877
49616,2,winter wheat,4,PTotal,0.4,0.214189
49616,2,winter wheat,5,KTotal,0.4,0.50968
49616,2,winter wheat,6,NTotal,0.9,6.022877
49617,2,winter wheat,1,PTotal,0.001,0.214189
49617,2,winter wheat,2,KTotal,0.001,0.50968
49617,2,winter wheat,3,NTotal,0.25,6.022877
49617,2,winter wheat,4,PTotal,0.4,0.214189
49617,2,winter wheat,5,KTotal,0.4,0.50968
49617,2,winter wheat,6,NTotal,0.9,6.022877
49618,2,winter wheat,1,PTotal,0.001,0.214189
49618,2,winter wheat,2,KTotal,0.001,0.50968
49618,2,winter wheat,3,NTotal,0.25,6.022877
49618,2,winter wheat,4,PTotal,0.4,0.214189
49618,2,winter wheat,5,KTotal,0.4,0.50968
49618,2,winter wheat,6,NTotal,0.9,6.022877
49619,2,winter wheat,1,PTotal,0.001,0.214189
49619,2,winter wheat,2,KTotal,0.001,0.50968
49619,2,winter wheat,3,NTotal,0.25,6.022877
49619,2,winter wheat,4,PTotal,0.4,0.214189
49619,2,winter wheat,5,KTotal,0.4,0.50968
49619,2,winter wheat,6,NTotal,0.9,6.022877
49620,2,winter wheat,1,PTotal,0.001,0.214189
49620,2,winter wheat,2,KTotal,0.001,0.50968
49620,2,winter wheat,3,NTotal,0.25,6.022877
49620,2,winter wheat,4,PTotal,0.4,0.214189
49620,2,winter wheat,5,KTotal,0.4,0.50968
49620,2,winter wheat,6,NTotal,0.9,6.022877
49621,2,winter wheat,1,PTotal,0.001,0.214189
49621,2,winter wheat,2,KTotal,0.001,0.50968
49621,2,winter wheat,3,NTotal,0.25,6.022877
49621,2,winter wheat,4,PTotal,0.4,0.214189
49621,2,winter wheat,5,KTotal,0.4,0.50968
49621,2,winter wheat,6,NTotal,0.9,6.022877
49622,2,winter wheat,1,PTotal,0.001,0.214189
49622,2,winter wheat,2,KTotal,0.001,0.50968
49622,2,winter wheat,3,NTotal,0.25,6.022877
49622,2,winter wheat,4,PTotal,0.4,0.214189
49622,2,winter wheat,5,KTotal,0.4,0.50968
49622,2,winter wheat,6,NTotal,0.9,6.022877
49623,2,winter wheat,1,PTotal,0.001,0.214189
49623,2,winter wheat,2,KTotal,0.001,0.50968
49623,2,winter wheat,3,NTotal,0.25,6.022877
49623,2,winter wheat,4,PTotal,0.4,0.214189
49623,2,winter wheat,5,KTotal,0.4,0.50968
49623,2,winter wheat,6,NTotal,0.9,6.022877
49624,2,winter wheat,1,PTotal,0.001,0.214189
49624,2,winter wheat,2,KTotal,0.001,0.50968
49624,2,winter wheat,3,NTotal,0.25,6.022877
49624,2,winter wheat,4,PTotal,0.4,0.214189
49624,2,winter wheat,5,KTotal,0.4,0.50968
49624,2,winter wheat,6,NTotal,0.9,6.022877
49625,2,winter wheat,1,PTotal,0.001,0.214189
49625,2,winter wheat,2,KTotal,0.001,0.50968
49625,2,winter wheat,3,NTotal,0.25,6.022877
49625,2,winter wheat,4,PTotal,0.4,0.214189
49625,2,winter wheat,5,KTotal,0.4,0.50968
49625,2,winter wheat,6,NTotal,0.9,6.022877
49626,2,winter wheat,1,PTotal,0.001,0.214189
49626,2,winter wheat,2,KTotal,0.001,0.50968
49626,2,winter wheat,3,NTotal,0.25,6.022877
49626,2,winter wheat,4,PTotal,0.4,0.214189
49626,2,winter wheat,5,KTotal,0.4,0.50968
49626,2,winter wheat,6,NTotal,0.9,6.022877
49627,2,winter wheat,1,PTotal,0.001,0.214189
49627,2,winter wheat,2,KTotal,0.001,0.50968
49627,2,winter wheat,3,NTotal,0.25,6.022877
49627,2,winter wheat,4,PTotal,0.4,0.214189
49627,2,winter wheat,5,KTotal,0.4,0.50968
49627,2,winter wheat,6,NTotal,0.9,6.022877
49628,2,winter wheat,1,PTotal,0.001,0.214189
49628,2,winter wheat,2,KTotal,0.001,0.50968
49628,2,winter wheat,3,NTotal,0.25,6.022877
49628,2,winter wheat,4,PTotal,0.4,0.214189
49628,2,winter wheat,5,KTotal,0.4,0.50968
49628,2,winter wheat,6,NTotal,0.9,6.022877
49629,2,winter wheat,1,PTotal,0.001,0.214189
49629,2,winter wheat,2,KTotal,0.001,0.50968
49629,2,winter wheat,3,NTotal,0.25,6.022877
49629,2,winter wheat,4,PTotal,0.4,0.214189
49629,2,winter wheat,5,KTotal,0.4,0.50968
49629,2,winter wheat,6,NTotal,0.9,6.022877
49630,2,winter wheat,1,PTotal,0.001,0.214189
49630,2,winter wheat,2,KTotal,0.001,0.50968
49630,2,winter wheat,3,NTotal,0.25,6.022877
49630,2,winter wheat,4,PTotal,0.4,0.214189
49630,2,winter wheat,5,KTotal,0.4,0.50968
49630,2,winter wheat,6,NTotal,0.9,6.022877
49631,2,winter wheat,1,PTotal,0.001,0.214189
49631,2,winter wheat,2,KTotal,0.001,0.50968
49631,2,winter wheat,3,NTotal,0.25,6.022877
49631,2,winter wheat,4,PTotal,0.4,0.214189
49631,2,winter wheat,5,KTotal,0.4,0.50968
49631,2,winter wheat,6,NTotal,0.9,6.022877
49632,2,winter wheat,1,PTotal,0.001,0.214189
49632,2,winter wheat,2,KTotal,0.001,0.50968
49632,2,winter wheat,3,NTotal,0.25,6.022877
49632,2,winter wheat,4,PTotal,0.4,0.214189
49632,2,winter wheat,5,KTotal,0.4,0.50968
49632,2,winter wheat,6,NTotal,0.9,6.022877
49633,2,winter wheat,1,PTotal,0.001,0.214189
49633,2,winter wheat,2,KTotal,0.001,0.50968
49633,2,winter wheat,3,NTotal,0.25,6.022877
49633,2,winter wheat,4,PTotal,0.4,0.214189
49633,2,winter wheat,5,KTotal,0.4,0.50968
49633,2,winter wheat,6,NTotal,0.9,6.022877
49634,2,winter wheat,1,PTotal,0.001,0.214189
49634,2,winter wheat,2,KTotal,0.001,0.50968
49634,2,winter wheat,3,NTotal,0.25,6.022877
49634,2,winter wheat,4,PTotal,0.4,0.214189
49634,2,winter wheat,5,KTotal,0.4,0.50968
49634,2,winter wheat,6,NTotal,0.9,6.022877
49635,2,winter wheat,1,PTotal,0.001,0.214189
49635,2,winter wheat,2,KTotal,0.001,0.50968
49635,2,winter wheat,3,NTotal,0.25,6.022877
49635,2,winter wheat,4,PTotal,0.4,0.214189
49635,2,winter wheat,5,KTotal,0.4,0.50968
49635,2,winter wheat,6,NTotal,0.9,6.022877
49636,2,winter wheat,1,PTotal,0.001,0.214189
49636,2,winter wheat,2,KTotal,0.001,0.50968
49636,2,winter wheat,3,NTotal,0.25,6.022877
49636,2,winter wheat,4,PTotal,0.4,0.214189
49636,2,winter wheat,5,KTotal,0.4,0.50968
49636,2,winter wheat,6,NTotal,0.9,6.022877
49637,2,winter wheat,1,PTotal,0.001,0.214189
