location,soiltype,dampingdepth,soilwater_fc_global,soilwater_sat_global,drainage_rate,deltatheta,DZF,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,soilwater_fc_1,soilwater_fc_2,soilwater_fc_3,soilwater_fc_4,soilwater_fc_5,soilwater_fc_6,soilwater_red_1,soilwater_red_2,soilwater_red_3,soilwater_red_4,soilwater_red_5,soilwater_red_6,soilwater_wp_1,soilwater_wp_2,soilwater_wp_3,soilwater_wp_4,soilwater_wp_5,soilwater_wp_6,soilwater_sat_1,soilwater_sat_2,soilwater_sat_3,soilwater_sat_4,soilwater_sat_5,soilwater_sat_6,soilwater_init_1,soilwater_init_2,soilwater_init_3,soilwater_init_4,soilwater_init_5,soilwater_init_6,bulkdensity_1,bulkdensity_2,bulkdensity_3,bulkdensity_4,bulkdensity_5,bulkdensity_6,clay_1,clay_2,clay_3,clay_4,clay_5,clay_6,carbon_1,carbon_2,carbon_3,carbon_4,carbon_5,carbon_6,ammonium_1,ammonium_2,ammonium_3,ammonium_4,ammonium_5,ammonium_6,nitrate_1,nitrate_2,nitrate_3,nitrate_4,nitrate_5,nitrate_6,sand_1,sand_2,sand_3,sand_4,sand_5,sand_6,soilwater_res_1,soilwater_res_2,soilwater_res_3,soilwater_res_4,soilwater_res_5,soilwater_res_6,macroporevolume_1,macroporevolume_2,macroporevolume_3,macroporevolume_4,macroporevolume_5,macroporevolume_6,SoilLayerDepth_1,SoilLayerDepth_2,SoilLayerDepth_3,SoilLayerDepth_4,SoilLayerDepth_5,SoilLayerDepth_6,CaCO3_1,CaCO3_2,CaCO3_3,CaCO3_4,CaCO3_5,CaCO3_6,PH_1,PH_2,PH_3,PH_4,PH_5,PH_6,BSA_1,BSA_2,BSA_3,BSA_4,BSA_5,BSA_6,LowerBoundaryConcentration,RootMaxUptakeRate,InitialDissolvedPConcentration_1,InitialDissolvedPConcentration_2,InitialDissolvedPConcentration_3,InitialDissolvedPConcentration_4,InitialDissolvedPConcentration_5,InitialDissolvedPConcentration_6,InitialAdsorbedPConcentration_1,InitialAdsorbedPConcentration_2,InitialAdsorbedPConcentration_3,InitialAdsorbedPConcentration_4,InitialAdsorbedPConcentration_5,InitialAdsorbedPConcentration_6,InitialFixedPConcentration_1,InitialFixedPConcentration_2,InitialFixedPConcentration_3,InitialFixedPConcentration_4,InitialFixedPConcentration_5,InitialFixedPConcentration_6,slimalfa_1,slimalfa_2,slimalfa_3,slimalfa_4,slimalfa_5,slimalfa_6
49612,AP5,6,0.309681132,0.514653013,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.285639725,0.319271806,0.325612971,0.280413397,0.312106658,0.312106658,0.208782132,0.245321781,0.248147023,0.210431012,0.238143938,0.238143938,0.131924539,0.171371756,0.170681074,0.140448626,0.164181219,0.164181219,0.532819983,0.527524541,0.525815401,0.497767718,0.512155766,0.512155766,0.285639725,0.319271806,0.325612971,0.280413397,0.312106658,0.312106658,1.0032,1.0241,1.0408,1.1047,1.0709,1.0709,5.5346,5.6017,4.1557,6.8091,5.4229,5.4229,8.5363,14.1145,17.115,10.9967,15.1083,15.1083,5,4,3,2,1,0,5,4,3,2,1,0,84.0798,84.1087,86.3003,84.7714,85.3422,85.3422,0.116466357,0.154500444,0.153268954,0.125453496,0.147568392,0.147568392,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49613,AP5,6,0.23416829,0.45544376,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.245467853,0.260083877,0.26849329,0.232059125,0.224355797,0.224355797,0.174836437,0.192298135,0.199218988,0.168466868,0.160650935,0.160650935,0.104205022,0.124512393,0.129944687,0.104874612,0.096946074,0.096946074,0.502196139,0.47481939,0.471432244,0.461757169,0.445435497,0.445435497,0.245467853,0.260083877,0.26849329,0.232059125,0.224355797,0.224355797,1.1057,1.1879,1.1958,1.2272,1.2593,1.2593,5.7557,5.8657,5.5502,6.9017,5.5154,5.5154,6.2766,10.0898,11.9473,7.6575,10.418,10.418,5,4,3,2,1,0,5,4,3,2,1,0,83.8235,83.8901,84.9976,84.02,88.6034,88.6034,0.091206945,0.110594897,0.115536536,0.092608086,0.085180358,0.085180358,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49614,AP5,6,0.344618061,0.51828215,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.279629525,0.329369773,0.351434174,0.322587757,0.354303715,0.354303715,0.206063223,0.254291027,0.274234416,0.25656078,0.283823483,0.283823483,0.132496921,0.179212282,0.197034658,0.190533803,0.21334325,0.21334325,0.517257063,0.533523146,0.528435301,0.493105984,0.518327468,0.518327468,0.279629525,0.329369773,0.351434174,0.322587757,0.354303715,0.354303715,1.0557,1.0123,1.0362,1.1288,1.0574,1.0574,5.1563,5.1138,6.472,12.1059,9.9521,9.9521,9.2369,15.4529,19.0193,12.2696,16.9229,16.9229,5,4,3,2,1,0,5,4,3,2,1,0,83.9405,84.0238,83.0002,76.6339,78.4225,78.4225,0.11742318,0.161871207,0.178686613,0.174345338,0.195721215,0.195721215,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49615,AP5,6,0.237261124,0.39461254,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.253586686,0.234253737,0.221482641,0.198904869,0.25722541,0.241067708,0.16740856,0.15546758,0.144081777,0.128468664,0.192077523,0.18022542,0.081230433,0.076681422,0.066680912,0.058032459,0.126929636,0.119383133,0.486717945,0.4398056,0.379333306,0.389218877,0.401856648,0.378324734,0.253586686,0.234253737,0.221482641,0.198904869,0.25722541,0.241067708,1.2408,1.397,1.603,1.5694,1.5426,1.6176,7.843,8.0467,6.6476,6.4288,18.993,17.3758,1.4067,1.2674,0.4425,0.1886,0.4079,0.1297,5,4,3,2,1,0,5,4,3,2,1,0,36.8695,36.4592,35.0548,42.7369,37.853,40.9892,0.067340577,0.063827303,0.054820145,0.047712129,0.112455871,0.105864656,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49616,AP5,6,0.235837651,0.39353358,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.252656404,0.233623066,0.218847518,0.196410563,0.260040498,0.238621282,0.167383843,0.15567346,0.14264827,0.12688521,0.194524717,0.178350837,0.082111282,0.077723855,0.066449022,0.057359856,0.129008935,0.118080392,0.484899089,0.438091095,0.378465186,0.38844689,0.406536083,0.375615793,0.252656404,0.233623066,0.218847518,0.196410563,0.260040498,0.238621282,1.2468,1.4027,1.6056,1.5715,1.527,1.6255,8.0836,8.323,6.7112,6.3618,19.2418,17.1205,1.403,1.2581,0.4342,0.1844,0.4912,0.1263,5,4,3,2,1,0,5,4,3,2,1,0,37.7427,37.2787,36.394,43.8418,37.7578,41.8715,0.068219059,0.064849814,0.054716725,0.047184155,0.114398028,0.104703193,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49617,AP5,6,0.113215545,0.358270937,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.206228798,0.137048032,0.130750576,0.11131352,0.099989066,0.099989066,0.13682005,0.093216069,0.087104387,0.076158769,0.069581991,0.069581991,0.067411303,0.049384106,0.043458198,0.041004018,0.039174916,0.039174916,0.50709024,0.415207995,0.440370983,0.383312548,0.321580419,0.321580419,0.206228798,0.137048032,0.130750576,0.11131352,0.099989066,0.099989066,1.0957,1.3983,1.3186,1.5033,1.7196,1.7196,4.903,4.937,4.1438,5.3584,4.6696,4.6696,2.8476,2.4449,1.5186,1.3005,0.2446,0.2446,5,4,3,2,1,0,5,4,3,2,1,0,85.8214,86.424,87.6835,87.3142,87.5962,87.5962,0.057886537,0.043683902,0.03860914,0.036926726,0.035598527,0.035598527,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49618,AP5,6,0.386127842,0.626803363,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.329048692,0.368903204,0.388548372,0.363292429,0.396309242,0.396309242,0.245657756,0.287573008,0.302899665,0.287207836,0.316206374,0.316206374,0.162266821,0.206242813,0.217250958,0.211123243,0.236103506,0.236103506,0.585680898,0.616250363,0.64332962,0.580620369,0.636152743,0.636152743,0.329048692,0.368903204,0.388548372,0.363292429,0.396309242,0.396309242,0.8301,0.7764,0.734,0.8558,0.7358,0.7358,4.8673,4.865,6.2457,7.8641,7.0976,7.0976,12.8025,21.6111,26.9058,17.2713,23.8324,23.8324,5,4,3,2,1,0,5,4,3,2,1,0,86.6892,86.6713,84.7468,83.4871,81.581,81.581,0.144410014,0.187018774,0.196956205,0.192628838,0.216241574,0.216241574,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49619,AP5,6,0.220007532,0.395009164,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.191975252,0.215119639,0.212839346,0.234920908,0.221724277,0.221724277,0.134298485,0.154047268,0.153171934,0.181033439,0.166439225,0.166439225,0.076621718,0.092974897,0.093504523,0.127145969,0.111154172,0.111154172,0.442996309,0.437817982,0.407521769,0.393403745,0.383053845,0.383053845,0.191975252,0.215119639,0.212839346,0.234920908,0.221724277,0.221724277,1.3155,1.3236,1.4132,1.4798,1.4897,1.4897,5.5404,5.4805,6.3112,15.4352,11.9211,11.9211,4.3679,6.8524,7.8606,5.1003,6.9334,6.9334,5,4,3,2,1,0,5,4,3,2,1,0,81.3215,81.5035,82.0297,71.095,77.5717,77.5717,0.067041101,0.081772119,0.082397903,0.115031158,0.099535419,0.099535419,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49620,AP5,6,0.380160372,0.711294894,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.342531845,0.365012339,0.357827346,0.367213882,0.390812959,0.390812959,0.254604763,0.280469556,0.268475467,0.284128299,0.306790934,0.306790934,0.166677682,0.195926773,0.179123587,0.201042716,0.222768909,0.222768909,0.628393366,0.6785398,0.72863578,0.654236262,0.728821603,0.728821603,0.342531845,0.365012339,0.357827346,0.367213882,0.390812959,0.390812959,0.6963,0.6192,0.5464,0.6504,0.5056,0.5056,4.9553,4.9536,5.2476,5.7504,5.25,5.25,15.4457,26.3871,33.1761,21.3586,29.5558,29.5558,5,4,3,2,1,0,5,4,3,2,1,0,87.9498,87.9115,87.4604,86.5916,86.5987,86.5987,0.148006346,0.176575218,0.159736734,0.181731273,0.202639787,0.202639787,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49621,AP5,6,0.553914336,0.772793127,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.347948805,0.375762956,0.45168358,0.369028665,0.67173985,0.632216796,0.256672178,0.29129344,0.364964616,0.283143331,0.627949223,0.578574486,0.165395551,0.206823924,0.278245652,0.197257997,0.584158596,0.524932177,0.661285665,0.723517171,0.791119833,0.702238371,0.800427105,0.79595448,0.347948805,0.375762956,0.45168358,0.369028665,0.67173985,0.632216796,0.5957,0.5096,0.4155,0.5245,0.3427,0.3561,4.9852,5.0145,4.6743,3.708,4.0626,3.774,17.097,29.2818,36.9025,23.7484,32.9324,32.8828,5,4,3,2,1,0,5,4,3,2,1,0,88.7817,88.6665,88.7396,89.9106,87.7768,88.3363,0.146349258,0.187122873,0.256211087,0.177656161,0.570140336,0.50825732,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49622,AP5,6,0.770494363,0.837418217,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.372440097,0.491549047,0.841888681,0.552162074,0.866634427,0.866634427,0.278576835,0.413915693,0.834159106,0.482291493,0.866626235,0.866626235,0.184713574,0.336282339,0.826429532,0.412420913,0.866618043,0.866618043,0.69338962,0.770630646,0.862613343,0.760969056,0.866657587,0.866657587,0.372440097,0.491549047,0.841888681,0.552162074,0.866634427,0.866634427,0.497,0.4018,0.2727,0.3822,0.1989,0.1989,4.8066,4.8083,4.3285,2.5265,2.7203,2.7203,18.9611,32.5889,41.2303,26.5366,36.7476,36.7476,5,4,3,2,1,0,5,4,3,2,1,0,90.4187,90.3267,90.5796,91.5135,92.3951,92.3951,0.164408053,0.315060884,0.823762513,0.392131934,0.866615185,0.866615185,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49623,AP5,6,0.3813018,0.585494875,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.314281952,0.359806282,0.388971307,0.353262397,0.392898006,0.392898006,0.234216444,0.280758851,0.307415234,0.2813372,0.317148837,0.317148837,0.154150935,0.20171142,0.225859162,0.209412003,0.241399668,0.241399668,0.561053885,0.584490892,0.601322216,0.547070113,0.591005936,0.591005936,0.314281952,0.359806282,0.388971307,0.353262397,0.392898006,0.392898006,0.9093,0.8632,0.837,0.9569,0.8543,0.8543,4.8906,4.876,6.7935,9.5124,8.3453,8.3453,11.501,19.3171,23.9474,15.3717,21.1878,21.1878,5,4,3,2,1,0,5,4,3,2,1,0,85.9894,86.0008,83.5834,80.8902,79.8676,79.8676,0.137129366,0.182990544,0.205965381,0.19168197,0.222174859,0.222174859,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49624,AP5,6,0.107128277,0.379291145,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.252684055,0.167789813,0.141747441,0.088625223,0.084119733,0.084119733,0.167516193,0.114083994,0.093285733,0.060619437,0.058359323,0.058359323,0.082348331,0.060378174,0.044824025,0.03261365,0.032598913,0.032598913,0.540424836,0.447214302,0.458610568,0.394702242,0.341872604,0.341872604,0.252684055,0.167789813,0.141747441,0.088625223,0.084119733,0.084119733,0.9996,1.3074,1.2831,1.4675,1.6698,1.6698,4.9027,4.6265,2.3603,2.302,1.9381,1.9381,3.0781,2.7575,1.5382,1.2487,0.2624,0.2624,5,4,3,2,1,0,5,4,3,2,1,0,82.1001,82.9038,86.1074,92.0682,90.4204,90.4204,0.070007903,0.052722578,0.03954358,0.030257449,0.030312812,0.030312812,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49625,AP5,6,0.110119627,0.379882239,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.261716982,0.180891785,0.138400083,0.087473834,0.086703397,0.086703397,0.175451171,0.123649484,0.091430117,0.059946948,0.05998064,0.05998064,0.08918536,0.066407182,0.04446015,0.032420063,0.033257884,0.033257884,0.542376298,0.455746779,0.44966868,0.391104334,0.343248376,0.343248376,0.261716982,0.180891785,0.138400083,0.087473834,0.086703397,0.086703397,0.9967,1.2826,1.3166,1.482,1.6663,1.6663,5.3463,5.0092,2.445,2.2872,2.0606,2.0606,3.2762,2.8983,1.4104,1.1212,0.2543,0.2543,5,4,3,2,1,0,5,4,3,2,1,0,80.3104,81.1744,84.9477,91.8747,89.7038,89.7038,0.076028204,0.057840748,0.0393035,0.03011711,0.030814202,0.030814202,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49626,AP5,6,0.376825315,0.573514819,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.309049776,0.356369042,0.384461333,0.351153226,0.387960717,0.387960717,0.23020294,0.277949491,0.303298589,0.280612032,0.313170317,0.313170317,0.151356105,0.199529939,0.222135846,0.210070837,0.238379918,0.238379918,0.552909088,0.575811708,0.588400874,0.537678358,0.577969648,0.577969648,0.309049776,0.356369042,0.384461333,0.351153226,0.387960717,0.387960717,0.9363,0.8884,0.8721,0.9868,0.8884,0.8884,4.9053,4.8738,6.558,10.2036,8.7337,8.7337,11.1438,18.7265,23.2134,14.9195,20.5704,20.5704,5,4,3,2,1,0,5,4,3,2,1,0,85.6583,85.6904,83.7621,79.7201,79.9491,79.9491,0.134633626,0.180977578,0.202401108,0.192567125,0.219394545,0.219394545,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49627,AP5,6,0.308535297,0.489253453,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.2631232,0.304750718,0.321887694,0.3002267,0.311834809,0.311834809,0.191685879,0.231899256,0.24697237,0.234984541,0.242150976,0.242150976,0.120248558,0.159047795,0.172057047,0.169742382,0.172467144,0.172467144,0.505078665,0.508612122,0.502115669,0.477441105,0.484896354,0.484896354,0.2631232,0.304750718,0.321887694,0.3002267,0.311834809,0.311834809,1.0945,1.0847,1.107,1.1801,1.1466,1.1466,5.3819,5.358,6.1889,11.6884,9.2828,9.2828,8.1827,13.5665,16.561,10.6827,14.6889,14.6889,5,4,3,2,1,0,5,4,3,2,1,0,83.9495,84.0509,83.977,77.0278,81.9651,81.9651,0.106125947,0.1428156,0.154955037,0.154314127,0.156192866,0.156192866,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
49628,AP5,6,0.24129241,0.412457587,50,0.01,0.1,0.1,0.3,0.5,0.7,1,2,0.204438968,0.234551852,0.237007618,0.251108213,0.244313374,0.244313374,0.144000937,0.170035167,0.172915166,0.19524681,0.185587035,0.185587035,0.083562906,0.105518481,0.108822713,0.139385406,0.126860696,0.126860696,0.452861878,0.451850701,0.424399235,0.406723015,0.40233415,0.40233415,0.204438968,0.234551852,0.237007618,0.251108213,0.244313374,0.244313374,1.2794,1.2744,1.3546,1.43,1.4217,1.4217,5.3545,5.2773,6.3151,15.5321,12.0666,12.0666,5.1555,8.2593,9.7095,6.2941,8.5975,8.5975,5,4,3,2,1,0,5,4,3,2,1,0,81.7956,81.9719,82.1129,70.9753,77.2601,77.2601,0.073144952,0.093094684,0.096218797,0.126501069,0.114024306,0.114024306,0.0425,0.0425,0.0425,0.0225,0.0225,0,0.1,0.3,0.5,0.7,1,2,0,0,0,0,0,0,5.29,5.11,4.63,4.73,4.9,5.14,89,89,89,89,89,89,0,1e-05,32,32,32,20,2,2,202,202,202,129,14,14,807,807,807,516,57,57,0.95,0.95,0.95,0.95,0.95,0.95
